AAA,progname,nmon
AAA,command,/usr/local/bin/nmon -f -t -F /var/log/nmon/kc2prapkc01_20161114_nmon.csv 
AAA,version,14i
AAA,disks_per_line,150
BBBP,001,/etc/release,"Red Hat Enterprise Linux Server release 6.1 (Santiago)"
BBBP,002,/etc/release,"Red Hat Enterprise Linux Server release 6.1 (Santiago)"
BBBP,003,lsb_release
BBBP,004,fdisk-l
BBBP,005,fdisk-l,""
BBBP,006,fdisk-l,"Disk /dev/sda: 53.7 GB, 53687091200 bytes"
BBBP,007,fdisk-l,"64 heads, 32 sectors/track, 51200 cylinders"
BBBP,008,fdisk-l,"Units = cylinders of 2048 * 512 = 1048576 bytes"
BBBP,009,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,010,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,011,fdisk-l,"Disk identifier: 0x000a130c"
BBBP,012,fdisk-l,""
BBBP,013,fdisk-l,"   Device Boot      Start         End      Blocks   Id  System"
BBBP,014,fdisk-l,"ddev/sda1   *           2         129      131072   83  Linux"
BBBP,015,fdisk-l,"Partition 1 does not end on cylinder boundary."
BBBP,016,fdisk-l,"ddev/sda2             130       51200    52296704   8e  Linux LVM"
BBBP,017,fdisk-l,"Partition 2 does not end on cylinder boundary."
BBBP,018,fdisk-l,""
BBBP,019,fdisk-l,"Disk /dev/sdb: 53.7 GB, 53687091200 bytes"
BBBP,020,fdisk-l,"64 heads, 32 sectors/track, 51200 cylinders"
BBBP,021,fdisk-l,"Units = cylinders of 2048 * 512 = 1048576 bytes"
BBBP,022,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,023,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,024,fdisk-l,"Disk identifier: 0x00000000"
BBBP,025,fdisk-l,""
BBBP,026,fdisk-l,""
BBBP,027,fdisk-l,"Disk /dev/sde: 53.7 GB, 53687091200 bytes"
BBBP,028,fdisk-l,"64 heads, 32 sectors/track, 51200 cylinders"
BBBP,029,fdisk-l,"Units = cylinders of 2048 * 512 = 1048576 bytes"
BBBP,030,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,031,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,032,fdisk-l,"Disk identifier: 0x00000000"
BBBP,033,fdisk-l,""
BBBP,034,fdisk-l,""
BBBP,035,fdisk-l,"Disk /dev/sdd: 53.7 GB, 53687091200 bytes"
BBBP,036,fdisk-l,"64 heads, 32 sectors/track, 51200 cylinders"
BBBP,037,fdisk-l,"Units = cylinders of 2048 * 512 = 1048576 bytes"
BBBP,038,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,039,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,040,fdisk-l,"Disk identifier: 0x00000000"
BBBP,041,fdisk-l,""
BBBP,042,fdisk-l,""
BBBP,043,fdisk-l,"Disk /dev/sdc: 53.7 GB, 53687091200 bytes"
BBBP,044,fdisk-l,"64 heads, 32 sectors/track, 51200 cylinders"
BBBP,045,fdisk-l,"Units = cylinders of 2048 * 512 = 1048576 bytes"
BBBP,046,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,047,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,048,fdisk-l,"Disk identifier: 0x00000000"
BBBP,049,fdisk-l,""
BBBP,050,fdisk-l,""
BBBP,051,fdisk-l,"Disk /dev/sdf: 53.7 GB, 53687091200 bytes"
BBBP,052,fdisk-l,"64 heads, 32 sectors/track, 51200 cylinders"
BBBP,053,fdisk-l,"Units = cylinders of 2048 * 512 = 1048576 bytes"
BBBP,054,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,055,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,056,fdisk-l,"Disk identifier: 0x00000000"
BBBP,057,fdisk-l,""
BBBP,058,fdisk-l,""
BBBP,059,fdisk-l,"Disk /dev/sdg: 53.7 GB, 53687091200 bytes"
BBBP,060,fdisk-l,"64 heads, 32 sectors/track, 51200 cylinders"
BBBP,061,fdisk-l,"Units = cylinders of 2048 * 512 = 1048576 bytes"
BBBP,062,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,063,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,064,fdisk-l,"Disk identifier: 0x00000000"
BBBP,065,fdisk-l,""
BBBP,066,fdisk-l,""
BBBP,067,fdisk-l,"Disk /dev/mapper/rootvg-slashlv: 12.9 GB, 12884901888 bytes"
BBBP,068,fdisk-l,"255 heads, 63 sectors/track, 1566 cylinders"
BBBP,069,fdisk-l,"Units = cylinders of 16065 * 512 = 8225280 bytes"
BBBP,070,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,071,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,072,fdisk-l,"Disk identifier: 0x00000000"
BBBP,073,fdisk-l,""
BBBP,074,fdisk-l,""
BBBP,075,fdisk-l,"Disk /dev/mapper/rootvg-swaplv: 17.2 GB, 17179869184 bytes"
BBBP,076,fdisk-l,"255 heads, 63 sectors/track, 2088 cylinders"
BBBP,077,fdisk-l,"Units = cylinders of 16065 * 512 = 8225280 bytes"
BBBP,078,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,079,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,080,fdisk-l,"Disk identifier: 0x00000000"
BBBP,081,fdisk-l,""
BBBP,082,fdisk-l,""
BBBP,083,fdisk-l,"Disk /dev/mapper/kcdatavg-kcdatalv: 53.7 GB, 53682896896 bytes"
BBBP,084,fdisk-l,"255 heads, 63 sectors/track, 6526 cylinders"
BBBP,085,fdisk-l,"Units = cylinders of 16065 * 512 = 8225280 bytes"
BBBP,086,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,087,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,088,fdisk-l,"Disk identifier: 0x00000000"
BBBP,089,fdisk-l,""
BBBP,090,fdisk-l,""
BBBP,091,fdisk-l,"Disk /dev/mapper/appvg-kcustomslv: 21.5 GB, 21474836480 bytes"
BBBP,092,fdisk-l,"255 heads, 63 sectors/track, 2610 cylinders"
BBBP,093,fdisk-l,"Units = cylinders of 16065 * 512 = 8225280 bytes"
BBBP,094,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,095,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,096,fdisk-l,"Disk identifier: 0x00000000"
BBBP,097,fdisk-l,""
BBBP,098,fdisk-l,""
BBBP,099,fdisk-l,"Disk /dev/mapper/appvg-orcllv: 5368 MB, 5368709120 bytes"
BBBP,100,fdisk-l,"255 heads, 63 sectors/track, 652 cylinders"
BBBP,101,fdisk-l,"Units = cylinders of 16065 * 512 = 8225280 bytes"
BBBP,102,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,103,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,104,fdisk-l,"Disk identifier: 0x00000000"
BBBP,105,fdisk-l,""
BBBP,106,fdisk-l,""
BBBP,107,fdisk-l,"Disk /dev/mapper/appvg-swlv: 10.7 GB, 10737418240 bytes"
BBBP,108,fdisk-l,"255 heads, 63 sectors/track, 1305 cylinders"
BBBP,109,fdisk-l,"Units = cylinders of 16065 * 512 = 8225280 bytes"
BBBP,110,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,111,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,112,fdisk-l,"Disk identifier: 0x00000000"
BBBP,113,fdisk-l,""
BBBP,114,fdisk-l,""
BBBP,115,fdisk-l,"Disk /dev/mapper/rootvg-tmplv: 2147 MB, 2147483648 bytes"
BBBP,116,fdisk-l,"255 heads, 63 sectors/track, 261 cylinders"
BBBP,117,fdisk-l,"Units = cylinders of 16065 * 512 = 8225280 bytes"
BBBP,118,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,119,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,120,fdisk-l,"Disk identifier: 0x00000000"
BBBP,121,fdisk-l,""
BBBP,122,fdisk-l,""
BBBP,123,fdisk-l,"Disk /dev/mapper/rootvg-homelv: 7516 MB, 7516192768 bytes"
BBBP,124,fdisk-l,"255 heads, 63 sectors/track, 913 cylinders"
BBBP,125,fdisk-l,"Units = cylinders of 16065 * 512 = 8225280 bytes"
BBBP,126,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,127,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,128,fdisk-l,"Disk identifier: 0x00000000"
BBBP,129,fdisk-l,""
BBBP,130,fdisk-l,""
BBBP,131,fdisk-l,"Disk /dev/mapper/rootvg-varlv: 10.7 GB, 10737418240 bytes"
BBBP,132,fdisk-l,"255 heads, 63 sectors/track, 1305 cylinders"
BBBP,133,fdisk-l,"Units = cylinders of 16065 * 512 = 8225280 bytes"
BBBP,134,fdisk-l,"Sector size (logical/physical): 512 bytes / 512 bytes"
BBBP,135,fdisk-l,"I/O size (minimum/optimal): 512 bytes / 512 bytes"
BBBP,136,fdisk-l,"Disk identifier: 0x00000000"
BBBP,137,fdisk-l,""
BBBP,138,/proc/cpuinfo
BBBP,139,/proc/cpuinfo,"processor	: 0"
BBBP,140,/proc/cpuinfo,"vendor_id	: GenuineIntel"
BBBP,141,/proc/cpuinfo,"cpu family	: 6"
BBBP,142,/proc/cpuinfo,"model		: 37"
BBBP,143,/proc/cpuinfo,"model name	: Intel(R) Xeon(R) CPU E7- 2860  @ 2.27GHz"
BBBP,144,/proc/cpuinfo,"stepping	: 1"
BBBP,145,/proc/cpuinfo,"cpu MHz		: 2263.704"
BBBP,146,/proc/cpuinfo,"cache size	: 24576 KB"
BBBP,147,/proc/cpuinfo,"physical id	: 0"
BBBP,148,/proc/cpuinfo,"siblings	: 2"
BBBP,149,/proc/cpuinfo,"core id		: 0"
BBBP,150,/proc/cpuinfo,"cpu cores	: 2"
BBBP,151,/proc/cpuinfo,"apicid		: 0"
BBBP,152,/proc/cpuinfo,"initial apicid	: 0"
BBBP,153,/proc/cpuinfo,"fpu		: yes"
BBBP,154,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,155,/proc/cpuinfo,"cpuid level	: 11"
BBBP,156,/proc/cpuinfo,"wp		: yes"
BBBP,157,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic mtrr pge mca cmov pat pse36 clflush dts mmx fxsr sse sse2 ss ht syscall nx rdtscp lm constant_tsc arch_perfmon pebs bts rep_good xtopology tsc_reliable nonstop_tsc aperfmperf unfair_spinlock pni pclmulqdq ssse3 cx16 sse4_1 sse4_2 popcnt aes hypervisor lahf_lm ida arat epb"
BBBP,158,/proc/cpuinfo,"bogomips	: 4527.40"
BBBP,159,/proc/cpuinfo,"clflush size	: 64"
BBBP,160,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,161,/proc/cpuinfo,"address sizes	: 40 bits physical, 48 bits virtual"
BBBP,162,/proc/cpuinfo,"power management:"
BBBP,163,/proc/cpuinfo,""
BBBP,164,/proc/cpuinfo,"processor	: 1"
BBBP,165,/proc/cpuinfo,"vendor_id	: GenuineIntel"
BBBP,166,/proc/cpuinfo,"cpu family	: 6"
BBBP,167,/proc/cpuinfo,"model		: 37"
BBBP,168,/proc/cpuinfo,"model name	: Intel(R) Xeon(R) CPU E7- 2860  @ 2.27GHz"
BBBP,169,/proc/cpuinfo,"stepping	: 1"
BBBP,170,/proc/cpuinfo,"cpu MHz		: 2263.704"
BBBP,171,/proc/cpuinfo,"cache size	: 24576 KB"
BBBP,172,/proc/cpuinfo,"physical id	: 0"
BBBP,173,/proc/cpuinfo,"siblings	: 2"
BBBP,174,/proc/cpuinfo,"core id		: 1"
BBBP,175,/proc/cpuinfo,"cpu cores	: 2"
BBBP,176,/proc/cpuinfo,"apicid		: 1"
BBBP,177,/proc/cpuinfo,"initial apicid	: 1"
BBBP,178,/proc/cpuinfo,"fpu		: yes"
BBBP,179,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,180,/proc/cpuinfo,"cpuid level	: 11"
BBBP,181,/proc/cpuinfo,"wp		: yes"
BBBP,182,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic mtrr pge mca cmov pat pse36 clflush dts mmx fxsr sse sse2 ss ht syscall nx rdtscp lm constant_tsc arch_perfmon pebs bts rep_good xtopology tsc_reliable nonstop_tsc aperfmperf unfair_spinlock pni pclmulqdq ssse3 cx16 sse4_1 sse4_2 popcnt aes hypervisor lahf_lm ida arat epb"
BBBP,183,/proc/cpuinfo,"bogomips	: 4527.40"
BBBP,184,/proc/cpuinfo,"clflush size	: 64"
BBBP,185,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,186,/proc/cpuinfo,"address sizes	: 40 bits physical, 48 bits virtual"
BBBP,187,/proc/cpuinfo,"power management:"
BBBP,188,/proc/cpuinfo,""
BBBP,189,/proc/cpuinfo,"processor	: 2"
BBBP,190,/proc/cpuinfo,"vendor_id	: GenuineIntel"
BBBP,191,/proc/cpuinfo,"cpu family	: 6"
BBBP,192,/proc/cpuinfo,"model		: 37"
BBBP,193,/proc/cpuinfo,"model name	: Intel(R) Xeon(R) CPU E7- 2860  @ 2.27GHz"
BBBP,194,/proc/cpuinfo,"stepping	: 1"
BBBP,195,/proc/cpuinfo,"cpu MHz		: 2263.704"
BBBP,196,/proc/cpuinfo,"cache size	: 24576 KB"
BBBP,197,/proc/cpuinfo,"physical id	: 1"
BBBP,198,/proc/cpuinfo,"siblings	: 2"
BBBP,199,/proc/cpuinfo,"core id		: 0"
BBBP,200,/proc/cpuinfo,"cpu cores	: 2"
BBBP,201,/proc/cpuinfo,"apicid		: 2"
BBBP,202,/proc/cpuinfo,"initial apicid	: 2"
BBBP,203,/proc/cpuinfo,"fpu		: yes"
BBBP,204,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,205,/proc/cpuinfo,"cpuid level	: 11"
BBBP,206,/proc/cpuinfo,"wp		: yes"
BBBP,207,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic mtrr pge mca cmov pat pse36 clflush dts mmx fxsr sse sse2 ss ht syscall nx rdtscp lm constant_tsc arch_perfmon pebs bts rep_good xtopology tsc_reliable nonstop_tsc aperfmperf unfair_spinlock pni pclmulqdq ssse3 cx16 sse4_1 sse4_2 popcnt aes hypervisor lahf_lm ida arat epb"
BBBP,208,/proc/cpuinfo,"bogomips	: 4527.40"
BBBP,209,/proc/cpuinfo,"clflush size	: 64"
BBBP,210,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,211,/proc/cpuinfo,"address sizes	: 40 bits physical, 48 bits virtual"
BBBP,212,/proc/cpuinfo,"power management:"
BBBP,213,/proc/cpuinfo,""
BBBP,214,/proc/cpuinfo,"processor	: 3"
BBBP,215,/proc/cpuinfo,"vendor_id	: GenuineIntel"
BBBP,216,/proc/cpuinfo,"cpu family	: 6"
BBBP,217,/proc/cpuinfo,"model		: 37"
BBBP,218,/proc/cpuinfo,"model name	: Intel(R) Xeon(R) CPU E7- 2860  @ 2.27GHz"
BBBP,219,/proc/cpuinfo,"stepping	: 1"
BBBP,220,/proc/cpuinfo,"cpu MHz		: 2263.704"
BBBP,221,/proc/cpuinfo,"cache size	: 24576 KB"
BBBP,222,/proc/cpuinfo,"physical id	: 1"
BBBP,223,/proc/cpuinfo,"siblings	: 2"
BBBP,224,/proc/cpuinfo,"core id		: 1"
BBBP,225,/proc/cpuinfo,"cpu cores	: 2"
BBBP,226,/proc/cpuinfo,"apicid		: 3"
BBBP,227,/proc/cpuinfo,"initial apicid	: 3"
BBBP,228,/proc/cpuinfo,"fpu		: yes"
BBBP,229,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,230,/proc/cpuinfo,"cpuid level	: 11"
BBBP,231,/proc/cpuinfo,"wp		: yes"
BBBP,232,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic mtrr pge mca cmov pat pse36 clflush dts mmx fxsr sse sse2 ss ht syscall nx rdtscp lm constant_tsc arch_perfmon pebs bts rep_good xtopology tsc_reliable nonstop_tsc aperfmperf unfair_spinlock pni pclmulqdq ssse3 cx16 sse4_1 sse4_2 popcnt aes hypervisor lahf_lm ida arat epb"
BBBP,233,/proc/cpuinfo,"bogomips	: 4527.40"
BBBP,234,/proc/cpuinfo,"clflush size	: 64"
BBBP,235,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,236,/proc/cpuinfo,"address sizes	: 40 bits physical, 48 bits virtual"
BBBP,237,/proc/cpuinfo,"power management:"
BBBP,238,/proc/cpuinfo,""
BBBP,239,/proc/cpuinfo,"processor	: 4"
BBBP,240,/proc/cpuinfo,"vendor_id	: GenuineIntel"
BBBP,241,/proc/cpuinfo,"cpu family	: 6"
BBBP,242,/proc/cpuinfo,"model		: 37"
BBBP,243,/proc/cpuinfo,"model name	: Intel(R) Xeon(R) CPU E7- 2860  @ 2.27GHz"
BBBP,244,/proc/cpuinfo,"stepping	: 1"
BBBP,245,/proc/cpuinfo,"cpu MHz		: 2263.704"
BBBP,246,/proc/cpuinfo,"cache size	: 24576 KB"
BBBP,247,/proc/cpuinfo,"physical id	: 2"
BBBP,248,/proc/cpuinfo,"siblings	: 2"
BBBP,249,/proc/cpuinfo,"core id		: 0"
BBBP,250,/proc/cpuinfo,"cpu cores	: 2"
BBBP,251,/proc/cpuinfo,"apicid		: 4"
BBBP,252,/proc/cpuinfo,"initial apicid	: 4"
BBBP,253,/proc/cpuinfo,"fpu		: yes"
BBBP,254,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,255,/proc/cpuinfo,"cpuid level	: 11"
BBBP,256,/proc/cpuinfo,"wp		: yes"
BBBP,257,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic mtrr pge mca cmov pat pse36 clflush dts mmx fxsr sse sse2 ss ht syscall nx rdtscp lm constant_tsc arch_perfmon pebs bts rep_good xtopology tsc_reliable nonstop_tsc aperfmperf unfair_spinlock pni pclmulqdq ssse3 cx16 sse4_1 sse4_2 popcnt aes hypervisor lahf_lm ida arat epb"
BBBP,258,/proc/cpuinfo,"bogomips	: 4527.40"
BBBP,259,/proc/cpuinfo,"clflush size	: 64"
BBBP,260,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,261,/proc/cpuinfo,"address sizes	: 40 bits physical, 48 bits virtual"
BBBP,262,/proc/cpuinfo,"power management:"
BBBP,263,/proc/cpuinfo,""
BBBP,264,/proc/cpuinfo,"processor	: 5"
BBBP,265,/proc/cpuinfo,"vendor_id	: GenuineIntel"
BBBP,266,/proc/cpuinfo,"cpu family	: 6"
BBBP,267,/proc/cpuinfo,"model		: 37"
BBBP,268,/proc/cpuinfo,"model name	: Intel(R) Xeon(R) CPU E7- 2860  @ 2.27GHz"
BBBP,269,/proc/cpuinfo,"stepping	: 1"
BBBP,270,/proc/cpuinfo,"cpu MHz		: 2263.704"
BBBP,271,/proc/cpuinfo,"cache size	: 24576 KB"
BBBP,272,/proc/cpuinfo,"physical id	: 2"
BBBP,273,/proc/cpuinfo,"siblings	: 2"
BBBP,274,/proc/cpuinfo,"core id		: 1"
BBBP,275,/proc/cpuinfo,"cpu cores	: 2"
BBBP,276,/proc/cpuinfo,"apicid		: 5"
BBBP,277,/proc/cpuinfo,"initial apicid	: 5"
BBBP,278,/proc/cpuinfo,"fpu		: yes"
BBBP,279,/proc/cpuinfo,"fpu_exception	: yes"
BBBP,280,/proc/cpuinfo,"cpuid level	: 11"
BBBP,281,/proc/cpuinfo,"wp		: yes"
BBBP,282,/proc/cpuinfo,"flags		: fpu vme de pse tsc msr pae mce cx8 apic mtrr pge mca cmov pat pse36 clflush dts mmx fxsr sse sse2 ss ht syscall nx rdtscp lm constant_tsc arch_perfmon pebs bts rep_good xtopology tsc_reliable nonstop_tsc aperfmperf unfair_spinlock pni pclmulqdq ssse3 cx16 sse4_1 sse4_2 popcnt aes hypervisor lahf_lm ida arat epb"
BBBP,283,/proc/cpuinfo,"bogomips	: 4527.40"
BBBP,284,/proc/cpuinfo,"clflush size	: 64"
BBBP,285,/proc/cpuinfo,"cache_alignment	: 64"
BBBP,286,/proc/cpuinfo,"address sizes	: 40 bits physical, 48 bits virtual"
BBBP,287,/proc/cpuinfo,"power management:"
BBBP,288,/proc/cpuinfo,""
BBBP,289,/proc/meminfo
BBBP,290,/proc/meminfo,"MemTotal:       90801148 kB"
BBBP,291,/proc/meminfo,"MemFree:        79905840 kB"
BBBP,292,/proc/meminfo,"Buffers:          381132 kB"
BBBP,293,/proc/meminfo,"Cached:          2158056 kB"
BBBP,294,/proc/meminfo,"SwapCached:            0 kB"
BBBP,295,/proc/meminfo,"Active:          8072540 kB"
BBBP,296,/proc/meminfo,"Inactive:         807788 kB"
BBBP,297,/proc/meminfo,"Active(anon):    6341372 kB"
BBBP,298,/proc/meminfo,"Inactive(anon):    59424 kB"
BBBP,299,/proc/meminfo,"Active(file):    1731168 kB"
BBBP,300,/proc/meminfo,"Inactive(file):   748364 kB"
BBBP,301,/proc/meminfo,"Unevictable:           0 kB"
BBBP,302,/proc/meminfo,"Mlocked:               0 kB"
BBBP,303,/proc/meminfo,"SwapTotal:      16777208 kB"
BBBP,304,/proc/meminfo,"SwapFree:       16777208 kB"
BBBP,305,/proc/meminfo,"Dirty:               116 kB"
BBBP,306,/proc/meminfo,"Writeback:             0 kB"
BBBP,307,/proc/meminfo,"AnonPages:       6341648 kB"
BBBP,308,/proc/meminfo,"Mapped:           184148 kB"
BBBP,309,/proc/meminfo,"Shmem:             59676 kB"
BBBP,310,/proc/meminfo,"Slab:            1751496 kB"
BBBP,311,/proc/meminfo,"SReclaimable:     233140 kB"
BBBP,312,/proc/meminfo,"SUnreclaim:      1518356 kB"
BBBP,313,/proc/meminfo,"KernelStack:        3928 kB"
BBBP,314,/proc/meminfo,"PageTables:        19884 kB"
BBBP,315,/proc/meminfo,"NFS_Unstable:          0 kB"
BBBP,316,/proc/meminfo,"Bounce:                0 kB"
BBBP,317,/proc/meminfo,"WritebackTmp:          0 kB"
BBBP,318,/proc/meminfo,"CommitLimit:    62177780 kB"
BBBP,319,/proc/meminfo,"Committed_AS:   42356952 kB"
BBBP,320,/proc/meminfo,"VmallocTotal:   34359738367 kB"
BBBP,321,/proc/meminfo,"VmallocUsed:      348148 kB"
BBBP,322,/proc/meminfo,"VmallocChunk:   34359378100 kB"
BBBP,323,/proc/meminfo,"HardwareCorrupted:     0 kB"
BBBP,324,/proc/meminfo,"AnonHugePages:   5855232 kB"
BBBP,325,/proc/meminfo,"HugePages_Total:       0"
BBBP,326,/proc/meminfo,"HugePages_Free:        0"
BBBP,327,/proc/meminfo,"HugePages_Rsvd:        0"
BBBP,328,/proc/meminfo,"HugePages_Surp:        0"
BBBP,329,/proc/meminfo,"Hugepagesize:       2048 kB"
BBBP,330,/proc/meminfo,"DirectMap4k:       12288 kB"
BBBP,331,/proc/meminfo,"DirectMap2M:    92262400 kB"
BBBP,332,/proc/stat
BBBP,333,/proc/stat,"cpu  19008442 1070706 8333068 6150192745 2548664 4371 695266 0 0"
BBBP,334,/proc/stat,"cpu0 5675110 302189 1937902 1020841124 411731 1207 264712 0 0"
BBBP,335,/proc/stat,"cpu1 6409974 68012 2567532 1021281196 386005 2647 302809 0 0"
BBBP,336,/proc/stat,"cpu2 1354220 283880 947851 1027000439 765841 0 9503 0 0"
BBBP,337,/proc/stat,"cpu3 2394678 54101 1062614 1026869351 39340 169 66008 0 0"
BBBP,338,/proc/stat,"cpu4 1270896 303601 791470 1026958074 902021 0 6536 0 0"
BBBP,339,/proc/stat,"cpu5 1903562 58921 1025697 1027242557 43723 346 45696 0 0"
